OBJECTID,PLAN_NO,BHC_TYPE,BHC_VALUE,SHAPE_Leng,Shape__Area,Shape__Length
2877,S/K22/6,NBA,NBA,35.913698161,51.294921875,38.9289111331477
2878,S/K22/6,NBA,NBA,520.921481202,2853.583984375,564.467646938675
2879,S/K22/6,NBA,NBA,250.557939905,706.19140625,271.501951662578
2880,S/K22/6,NBA,NBA,542.966574984,7006.373046875,588.372128359003
2881,S/K22/6,NBA,NBA,170.265981946,744.3671875,184.153496697024
2882,S/K22/6,NBA,NBA,721.914489346,3822.599609375,783.879553838432
2883,S/K22/6,NBA,NBA,399.763994971,2107.875,433.077802846875
2884,S/K22/6,NBA,NBA,111.007731085,184.935546875,120.287630574982
2885,S/K22/6,NBA,NBA,110.798547953,184.59375,120.062437836224
2886,S/K22/6,NBA,NBA,274.971412431,473.36328125,297.950791260571
2887,S/K22/6,NBA,NBA,356.303178696,616.99609375,386.088017938367
2888,S/K22/6,BHCB,45,235.705965645,4127.62109375,255.391163969342
2889,S/K22/6,BHCB,80,225.029906815,3777.63671875,243.826531937793
2890,S/K22/6,BHCB,15,198.753536322,2803.1171875,215.446211861433
2891,S/K22/6,BHCB,45,519.428691712,21548.650390625,562.745135879238
2892,S/K22/6,BHCB,15,687.335585052,11559.357421875,745.210811110431
2893,S/K22/6,BHCB,70,766.211985009,35079.00390625,830.541510302902
2894,S/K22/6,BHCB,60,393.799957608,11441.30078125,426.774981686334
2895,S/K22/6,BHCB,120,343.4336124,7229.119140625,372.139356461015
2896,S/K22/6,BHCB,15,154.154877067,1766.701171875,167.026954098974
2897,S/K22/6,NBA,NBA,253.165742015,3153.05078125,274.669805275724
2898,S/K22/6,BHCB,55,1248.57055297,114165.751953125,1353.33629149935
2899,S/K22/6,BHCB,15,474.151565571,15320.744140625,513.466545161379
2900,S/K22/6,BHCB,15,309.557518422,6958.64453125,335.413801340799
2901,S/K22/6,NBA,NBA,257.197050251,1366.08984375,278.710410560866
2902,S/K22/6,NBA,NBA,108.981482305,181.291015625,118.101533782377
2903,S/K22/6,BHCB,95,418.007339679,11316.232421875,452.992859517562
2904,S/K22/6,NBA,NBA,108.72202808,180.845703125,117.814427110118
2905,S/K22/6,NBA,NBA,406.857736198,1358.8984375,440.795414561392
2906,S/K22/6,NBA,NBA,62.7967071922,99.43359375,68.0228048798236
2907,S/K22/6,BHCB,120,396.208308517,9672.736328125,429.284280102754
2908,S/K22/6,BHCB,135,438.20684038,11399.115234375,474.816381944673
2909,S/K22/6,NBA,NBA,114.114356397,552.568359375,123.655782949655
2910,S/K22/6,BHCB,80,201.864034863,3021.896484375,218.767647702854
2911,S/K22/6,BHCB,80,222.39023943,3588.90234375,240.977719238972
2912,S/K22/6,BHCB,30,592.728556774,10342.271484375,642.922386902047
2913,S/K22/6,BHCB,120,810.104550821,41060.29296875,878.763584909839
2914,S/K22/6,BHCB,90,324.890600385,5774.96484375,352.037998317884
2915,S/K22/6,BHCB,100,1160.4626996,41764.70703125,1257.03212268407
2916,S/K22/6,BHCB,45,199.831326673,3048.07421875,216.659567111969
2917,S/K22/6,BHCB,60,732.476366516,25805.51953125,793.615126650859
2918,S/K22/6,BHCB,95,320.749741288,6512.162109375,347.635605915271
2919,S/K22/6,BHCB,15,323.868534344,8403.869140625,350.832342721382
2920,S/K22/6,BHCB,45,523.863152409,14386.0859375,567.705824107075
2921,S/K22/6,BHCB,45,344.445840902,8694.337890625,373.272024327792
2922,S/K22/6,BHCB,15,357.29584675,5917.24609375,387.124716022879
2923,S/K22/6,BHCB,100,855.8596274,15817.75390625,927.288897062485
2924,S/K22/6,BHCB,15,103.365489212,790.537109375,111.981597458427
2925,S/K22/6,BHCB,80,206.642633672,2752.970703125,223.773535479054
2926,S/K22/6,BHCB,45,372.118868775,9056.263671875,403.290734445955
2927,S/K22/6,BHCB,100,326.94184351,8293.83203125,354.210127808378
2928,S/K22/6,BHCB,80,370.677569593,9023.51953125,401.688397426519
2929,S/K22/6,BHCB,100,568.765899576,13980.859375,616.66418690422
2930,S/K22/6,BHCB,115,470.99476458,12567.818359375,510.408709850902
2931,S/K22/6,BHCB,115,468.287200959,12134.2109375,507.444290317858
2932,S/K22/6,BHCB,100,468.287336487,12134.009765625,507.442615794363
2933,S/K22/6,BHCB,100,486.181717086,15763.21875,526.69828728669
2934,S/K22/6,NBA,NBA,656.362602887,4579.22265625,711.210455132632
2935,S/K22/6,BHCB,110,409.177389942,8931.814453125,443.58632890723
2936,S/K22/6,BHCB,110,284.800977647,5728.74609375,308.590619580432
2937,S/K22/6,NBA,NBA,717.056978526,3440.75390625,776.929900843437
2938,S/K22/6,BHCB,110,359.01896772,8980.423828125,388.922970847705
2939,S/K22/6,BHCB,110,360.87036961,8922.978515625,391.008774999682
2940,S/K22/6,BHCB,80,1102.78661832,44564.16796875,1195.00402686005
2941,S/K22/6,BHCB,15,200.558019742,2785.3515625,217.572822498513
2942,S/K22/6,BHCB,200,391.490040692,9410.478515625,424.681504772962
2943,S/K22/6,BHCB,15,218.852129102,3469.197265625,237.135980788923
2944,S/K22/6,NBA,NBA,284.054434417,2108.169921875,308.354046720567
2945,S/K22/6,BHCB,100,315.203498165,6032.37890625,341.77392068034
2946,S/K22/6,BHCB,80,446.421777223,11349.119140625,483.625706434921
2947,S/K22/6,BHCB,60,734.412368758,40289.912109375,795.711196197754
2948,S/K22/6,BHCB,70,383.914786676,9053.53125,416.024755985297
2949,S/K22/6,BHCB,13,422.843299029,5660.373046875,458.974360834957
2950,S/K2/22,BHCS,8,162.814200486,1828.80078125,176.31743517771
2951,S/K2/22,BHCS,1,24.9916530653,43.388671875,27.0621854890636
2952,S/K2/22,BHCB,80,216.165737218,2430.26953125,234.236943578573
2953,S/K2/22,BHCB,80,349.181361686,4580.447265625,378.368467871473
2954,S/K2/22,BHCB,80,460.497232162,7521.45703125,498.521775910496
2955,S/K2/22,BHCB,80,363.438523378,5569.728515625,394.487306743828
2956,S/K2/22,BHCB,80,216.788121217,2925.6328125,235.145077564542
2957,S/K2/22,BHCB,80,184.918343235,2313.123046875,200.516324390681
2958,S/K2/22,BHCB,80,186.258103871,2307.505859375,201.979003467624
2959,S/K2/22,BHCB,80,225.907185804,2264.3984375,244.997357149929
2960,S/K2/22,BHCB,80,173.004314785,1901.09765625,187.639906026987
2961,S/K2/22,BHCB,80,275.942088527,3430.580078125,299.064995427585
2962,S/K2/22,BHCB,80,151.358833378,1640.40234375,163.934739078515
2963,S/K2/22,BHCB,80,281.852095431,3515.69921875,305.475342778606
2964,S/K2/22,BHCB,100,238.453569279,3488.572265625,258.547722055904
2965,S/K2/22,BHCS,8,78.2674318964,456.916015625,84.7900156411562
2966,S/K2/22,BHCB,100,209.193475054,3146.873046875,226.75594255256
2967,S/K2/22,BHCB,100,242.921207503,4015.638671875,263.403101880924
2968,S/K2/22,BHCB,100,201.691376744,2299.234375,218.82194201796
2969,S/K2/22,BHCB,100,173.915059171,1886.1640625,188.638826199363
2970,S/K2/22,BHCB,100,247.881456142,4222.115234375,268.771522694985
2971,S/K2/22,BHCB,100,252.654997201,3702.162109375,273.867332533206
2972,S/K2/22,BHCB,89,264.519189975,3666.498046875,286.713831843555
2973,S/K2/22,BHCS,8,166.693554171,1951.666015625,180.716134636892
2974,S/K2/22,BHCB,80,152.418751838,1633.8359375,165.240787486647
2975,S/K2/22,BHCB,100,272.435737306,4250.560546875,295.564835838789
2976,S/K2/22,BHCB,80,92.2933777323,563.0390625,99.918033242968
2977,S/K2/22,BHCB,80,118.157148082,727.712890625,128.212387558985
2978,S/K2/22,BHCB,80,157.109042033,1770.5625,170.298999227954
2979,S/K2/22,BHCB,80,480.60597749,16924.787109375,520.678031653009
2980,S/K2/22,BHCB,80,272.50911458,2883.23046875,295.81475735538
2981,S/K2/22,BHCB,80,145.604668079,1460.4765625,157.870849716162
2982,S/K2/22,BHCS,1,42.1314170643,118.310546875,45.6120266179841
2983,S/K2/22,BHCB,80,94.5626296296,567.24609375,102.562804181175
2984,S/K2/22,BHCB,80,157.57383465,1778.71484375,170.803911071888
2985,S/K2/22,BHCB,80,120.785545987,800.69140625,131.050212477007
2986,S/K2/22,BHCB,100,239.251763932,3271.05078125,259.562251199487
2987,S/K2/22,BHCB,80,175.407560993,2129.427734375,190.178689657451
2988,S/K2/22,BHCB,80,139.138348741,952.884765625,150.992674830717
2989,S/K2/22,BHCB,100,113.774003442,938.46484375,123.248391340006
2990,S/K2/22,BHCB,100,199.028264431,2884.265625,215.699651713161
2991,S/K2/22,BHCS,4,230.411429124,4062.576171875,249.620666003726
2992,S/K2/22,BHCS,4,302.971844393,6835.53515625,328.260674720913
2993,S/K2/22,BHCB,80,234.279237639,2338.04296875,254.070349704401
2994,S/K2/22,BHCS,1,43.0836491952,133.85546875,46.6653224208113
2995,S/K2/22,BHCB,80,205.338789857,2116.732421875,222.165277767855
2996,S/K2/22,BHCB,80,207.567538343,2213.046875,224.584580433008
2997,S/K2/22,BHCB,80,208.098264502,2241.056640625,225.162553436377
2998,S/K2/22,BHCB,80,206.126557419,2151.75390625,223.020401967177
2999,S/K2/22,BHCB,80,207.180912932,2178.2109375,224.157042335213
3000,S/K2/22,BHCB,80,208.905693551,2252.267578125,226.029999473466
3001,S/K2/22,BHCB,80,208.820300926,2235.376953125,225.935161505537
3002,S/K2/22,BHCB,80,206.816629353,2125.7734375,223.756928352518
3003,S/K2/22,BHCB,80,141.358298634,1391.419921875,153.248990629799
3004,S/K2/22,BHCB,80,177.339538543,1973.740234375,192.329852439128
3005,S/K2/22,BHCB,80,176.23118603,1974.765625,191.124384701749
3006,S/K2/22,BHCB,80,167.643559365,1811.13671875,181.80379232778
3007,S/K2/22,BHCB,80,181.890443577,2032.62890625,197.281214727655
3008,S/K2/22,BHCS,4,176.069482207,1974.4453125,190.948340157691
3009,S/K2/22,BHCB,80,168.852480503,1861.916015625,183.105793389111
3010,S/K2/22,BHCB,80,128.896575721,957.111328125,139.698096830987
3011,S/K2/22,BHCB,80,179.799874673,2074.787109375,194.98751689539
