OBJECTID,PLAN_NO,ZONE_LABEL,DESC_ENG,DESC_CHT,SPUSE_ENG,SPUSE_CHT,SHAPE_Leng,Shape__Area,Shape__Area_2,Shape__Length_2
2651,S/H8/26,R(B),Residential (Group B),住宅(乙類), , ,270.130219923,5703.052734375,5703.052734375,292.667619927801
2652,S/H8/26,CDA(2),Comprehensive Development Area (2),綜合發展區(2), , ,574.271357643,10891.5703125,10891.5703125,622.261112600358
2653,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,131.057919332,922.34375,922.34375,142.174367116612
2654,S/H8/26,R(A),Residential (Group A),住宅(甲類), , ,50.7375736988,158.98046875,158.98046875,54.9403463350092
2655,S/H8/26,GB,Green Belt,綠化地帶, , ,6440.5761893,389956.5703125,389956.5703125,6976.89286742998
2656,S/H8/26,R(B)2,Residential (Group B) 2,住宅(乙類)2, , ,207.425108691,3020.001953125,3020.001953125,224.903282490598
2657,S/H8/26,R(A),Residential (Group A),住宅(甲類), , ,183.146085835,2375.244140625,2375.244140625,198.327477398215
2658,S/H8/26,O,Open Space,休憩用地, , ,366.490387506,4679.1875,4679.1875,397.392015252185
2659,S/H8/26,R(B),Residential (Group B),住宅(乙類), , ,401.021282776,8525.908203125,8525.908203125,434.051633120226
2660,S/H8/26,GB,Green Belt,綠化地帶, , ,1868.39867844,51046.34375,51046.34375,2021.82013207713
2661,S/H8/26,C/R(3),Commercial / Residential (3),商業 / 住宅(3), , ,424.465580074,11592.82421875,11592.82421875,459.483680387538
2662,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,346.626300768,7495.263671875,7495.263671875,375.142701015087
2663,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,168.286830515,1785.42578125,1785.42578125,182.334913290953
2664,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,314.270495724,7182.87109375,7182.87109375,340.37126017383
